e  e  e  e  e  e  e e  e  e  e  e  e  e  e  e  e  e  e
sl wr wl wr wl wr wl wr wl wr wl sr e  e  e  e  e  e  sl wl wr wl wr wl wr wl wr wl sr
sl  f  f  f  f  f  f  f  f  f  f sr e  e  e  e  e  e  sl f  f  f  f  f  f  f  f  f  sr
sl  f  f  f  f  f  f  f  f  f  f wr wl wr wl wr wl wr wl f  f  f  f  f  f  f  f  f  sr
sl  f  f  f  f  f  f  f  f  f  f f  f  f  f  f  f  f  f  f  f  f  f  be f  f  f  f  sr
sl  f  f  f  f  f  f  f  f  f  f f  f  f  f  f  f  f  f  f  f  f  f  f  f  f  f  f  sr
sl  f  f  f  f  H  f  f  f  f  f wr wl wr wl wr wl wr wl f  f  f  f  f  f  f  f  f  sr
sl  f  f  f  f  f  f  f  f  f  f sr e  e  e  e  e  e  sl f  f  f  f  f  f  f  f  f  sr
sl  f  f  f  f  f  f  f  f  f  f sr e  e  e  e  e  e  dl wl wr wl wr wl wr wl wr wl dr
sl  f  f  f  f  f  f  f  f  f  f sr e  e  e  e  e  e  e  e  e  e  e  e  e  e  e  e  e
sl  f  f  f  f  f  f  f  f  f  f sr e  e  e  e  e  e  e  e  e  e  e  e  e  e  e  e  e
dl wr wl wr wl wr wl wr wl wr wl dr e  e  e  e  e  e  e  e 

